Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
48,Telvas H 40/12.5 (Telmisartan & Hydrochlorothiazide Tablets I.P.),SPB240 306,Feb-24,Jan-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Plot No. 2040-46, N.H.-10, Baghey Khola, P.O. Majhitar, East Sikkim-737 136.",Does not conform to I.P.,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
49,Telso 80 (Telmisartan Tab I.P.),MT2321 76,Jun-23,May-25,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sec-6A, IIE, Sidcul, Haridwar-249403",Does not conform to I.P.,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
50,Telvas-AM (Telmisartan & Amlodipine Tablets I.P.),BPG241 827,Jul-24,Jun-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Vill. Makhnumajra, P.O. Bhud, Dist. Solan, H.P.-173 205.",Does not conform to I.P.,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
51,Telvas 40 (Telmisartan Tablets I.P. 40mg.),SPB240 221,Feb-24,Jan-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Plot No. 2040-46, N.H.-10, Baghey Khola, P.O. Majhitar, East Sikkim-737 136.",Does not conform to I.P.,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
52,Shafcin-650,AT-119,Aug-24,Jul-26,"Mfg By: Ambrosia Pharma , 91 , Indl. Estate , Zainakot Srinagar",The sample does not confirm to IP 2022 requirement with respect to Dissolution Test,Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure A,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
53,Petop-40,PTP- 119,Aug-24,Jan-26,Mfg By: Ocean Organics Pvt Ltd P.O Khanna Nagar Amritsar -143001,The sample does not conform to the IP 2022 requirement with respect to Dissolution Test,Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure B,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
54,Pantobac-40,MT2408 61,Sep-24,Aug-26,"Mancare Laboratories Pvt Ltd Plot No. 11, Pharmacity Selaqui Dehradun , Uttarakhand 248011 Mrk By: NAVA Healthcare Pvt Ltd C1/10 Lal Sai Marg Janakpuri New Delhi - 110058","The sample does not conform to the IP requirements w,r,t Dissolution test",Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure C,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
55,Aticold,TG24- 1268,Jun-24,May-26,Athens Lifesciences Mauza Rampur Jattan Nahan Road Kala Amb Distt. Sirmour H.P 173030 Mfg For : Telethon Healthcare SCF 236 Second Floor Sector 13 Manimajra Chandigarh UT,The sample does not conform to the IP 2022 requirement w.r.t Uniformity of weight & Disintegration Test,Combined Food & Drug Testing Laboratory Jammu (J&K) - Report attached as Annexure D,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
56,Calagy ( Calamine Lotion I.P.),SPA243 098,Oct-24,Sep-26,"M/s Skymap Pharmaceuticals Pvt. Ltd, Roorkee",Sample does not conforms to clain as per I.P. 2022 w.r.t. assay of Zinc Oxide,State lab,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
57,Deflazacort 6 mg Tablets,CPT- 241518,Dec-24,Nov-26,"M/s Catasta Pharmaceuticals, Plot No. 113, DIC, Ind. Area, Baddi, Distt. Solan HP",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Deflazacort.,DTL BADDI,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
58,Diclofenac Potassium & Paracetamol Tablets,CPT- 241506,Dec-24,Nov-26,"M/s Catasta Pharmaceuticals, Plot No. 113, DIC, Ind. Area, Baddi, Distt. Solan HP",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Diclofenac Pottassium,DTL BADDI,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
59,Etoricoxib & Thiocolchicoside Soft gel Capsules (Sancap),CD- 242077,Dec-24,Nov-26,"M/s Capsoft Healthcare Pvt Ltd, Shed no 6, khasra no 760-761, khaslsa complex, Vill Karuana, Sai Road Baddi, Distt. Solan H.P.",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Etoricoxib & Thiocolchicoside,DTL BADDI,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
60,Sucralfate USP,LSU240 9105,Sep-24,Aug-24,"Legend Industries at unit-II Plot no C1/200-201/4 Phase-II, opp. Encore Ltd. Naroda GIDC Ahmedabad 382330",Sample does not conforms to U.S.P respect to identification and Assay of Sucralfate.,CDL Kolkata,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
61,Sucralfate USP,LSU240 9106,Sep-24,Aug-25,"Legend Industries at unit-II Plot no C1/200-201/4 Phase-II, opp. Encore Ltd. Naroda GIDC Ahmedabad 382331",Sample does not conforms to U.S.P respect to identification and Assay of Sucralfate.,CDL Kolkata,,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,Review Required
1,Amoxicillin Sodium and Clavulanate Potassium (Sterile) 5:1,4032409004,Sep-24,Aug-28,"M/s. Shandong New Time Pharmaceuticals Co. Ltd., No.1, North Outer Ring Road, Feixian Country, Shandong Province, China",Particulate Matter,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
2,Pantoprazole Gastro- Resistant Tablets IP (Pantoshang-40),SP240165,Jun-24,May-26,"M/s. Shangrila Industries (P) Ltd., (Pharma Division) Mining Rangpo East Sikkim-737132",Dissolution (Buffer Stage),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
3,Pantoprazole tablets IP 40 mg,81,May-24,Apr-26,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune-411018, INDIA",Dissolution (Buffer Stage),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
4,Adrenaline Bitartrate Injection IP (Reoline Injection),AD-204,Nov-24,Apr-26,"M/s. Rathi Laboratories (Hindustan) Pvt. Ltd., Industrial Area, Patna-800013 Bihar","Appearance of solution, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
5,Bupivacaine Hydrochloride In Dextrose Injection USP,AA4009,Mar-24,Feb-26,"M/s. Aishwarya Healthcare, Samardung, Kower Kabrey Block, South Sikkim-737137",Particulate matter (visible) and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
6,Montelukast and Levocetirizine Tablet (Dumont-L ),DML 062,Dec-24,Nov-27,"M/s.Hygeia Pharmaceuticals Mfg (P) Ltd., 608, Dwarir Road, Dhamaitala, P.O.- Dakshin Jagaddal, Dist-24 Pgs(S), Pin-700151, W.B.",Dissolution of Levocetirizine Hydrochloride and Montelukast,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
7,Nitrazepam Tablets I.P. 10 mg. (Nitravet-10),AXI23003P,Sep-23,Feb-28,"M/s. Anglo-French Drugs & Industries Limited, Plot No-4, Phase-II, Peenya Industrial Area, Peenya, Bengaluru-560 058",Spurious Identification and Assay of Nitrazepam,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
8,"Vitamin B1, Vitamin B2, Nicotinamide, Vitamin B6, Vitamin B12 & Calcium D-Pantothenate Syrup (B-Complex Syrup)",BOB-2440,Jun-24,Nov-25,"M/s. Apple formulations Pvt. Ltd., Plot no. 208, Kishanpur, Roorkee-247667 (U.K.)",Assay of Vitamin B12,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
9,"Vitamin B1, Vitamin B2, Nicotinamide, Vitamin B6, Vitamin B12 & Calcium D-Pantothenate Syrup (B-Complex Syrup)",BOB-2451,Jun-24,Nov-25,"M/s. Apple Formulations Pvt. Ltd., Plot no. 208, Kishanpur, Roorkee-247667 (U.K.)",Total aerobic viable count under Microbial limit test,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
,,,,,,,,,,,,,
10,"Vitamin C, Vitamin B12, Folic Acid and Niacinamide Injection (Curevit-12 (Combi Pack ))",CP-937,Dec-24,May-26,"M/s. Pharma Cure Laboratories, Garha Jalandhar 144022 Punjab",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
11,Ceftriaxone and Salbactam for Injection 1.5 g (TriaxS 1.5 g),DC40117,Sep-24,Aug-27,"M/s. Captab Biotec, Unit-II, Plot No. 125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Dist. Solan (H.P.)-173205",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
12,Ceftriaxone & Sulbactam for Injection IP (Cefamed-S),B4CT05E,Oct-24,Sep-26,"M/s. Lenus Lifecare Pvt. Ltd., Plot No. 1, Industrial Area, Chambaghat, Solan (H.P.)-173 213(India)","Clarity of Solution, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
13,Pantoprazole Gastro- Resistant and Domperidone Prolonged-release Capsules IP (Pantoryl- DSR ),MC-24229,Apr-24,Mar-26,"M/s. Matins Healthcare Pvt. Ltd., Plot No.-10, Sector-5, I.I.E., SIDCUL, HARIDWAR- 249403 (U.K.)",Dissolution of Pantoprazole Sodium in Buffer stage,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
14,Chlorhexidine Gluconate & Ethyle Alcohol Baed Hand and Skin Disinfectant (Safiser Hand Rub),IJWX/074,Sep-23,Sep-25,"M/s. SS Enterprises F-76,, Sector-8, Noida, G.B. Nagar (U.P.), India 201301","Assay of Ethyl alcohol, Chlorhexidine Gluconate","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
15,Dexamethasone Sodium Phosphate Injection IP (Dexagain Injection ),VHI274001,Dec-24,Nov-26,"M/s.Vidit Healthcare, Village Kishanpura, Paonta Sahib, Distt-Sirmour, H.P.-173025",Assay of Dexamethasone Sodium Phosphate calculated as Dexamethasone Phosphate,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
16,Itraconazole Capsules BP 100 mg (Fungis-100),C4050,Jun-24,May-26,"M/s. Merril Pharma Pvt. Ltd., Unit- II Plot No.24,25,31,32 Somnath Industrial Park, Kerala GIDC, Near Bavla, Ahmedabad -382220, Gujarat, India",Dissolution,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
17,Gentamicin Sulphate Injection IP (GENTAMICIN ),GN-37,Sep-24,Aug-26,"M/s. Amba research Laboratories, Road No.-21, Rajiv Nagar, Patna-24","Sterility, Particulate Matter and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
18,"Methylcobalamin, Thiamine HCl, Pyridoxine HCl, D-Panthenol and Nicotinamide Injection (Nuropat)",UGA-24436E,Aug-24,Jan-26,"M/s. Ultra Drugs Pvt. Ltd., Plot No. 1315-1318, Manpura,Nalagarh Road, Distt. Solan (H.P.) 174101",Particulate Matter and Assay of Methylcobalamin,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
,,,,,,,,,,,,,
19,Chloramphenirol Eye Ointment I.P. 1% W/W (EXPHENICOL),1624-366,01-07-2024,30-06-2026,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Assay of Chloramphenicol,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
20,Calcium& Vitamin D3 Tablets IP,QT23144,Nov-24,Oct-26,"M/s.Quest Laboratories Limited, Plot No.-45, Sector-III, Pithampur, Dist-Dhar-454775 (M. P.)","Description, Dissolution (for Calcium) and Assay of Elemental Calcium","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
21,Rabeprazole Sodium Injection I.P.,MD23H29,Aug-23,Jul-25,"M/s. Martin and Brown Bio- sciences, K.No.-918/419, Malkumajra, Nalagarh Road, Baddi, Distt.-Solan (H.P.) - 173205","Particulate matter, Related Substances, Clarity of solution, pH, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
22,Rabeprazole Sodium Injection I.P.,MD23H27,Aug-23,Jul-25,"M/s. Martin and Brown Bio- sciences, K.No.-918/419, Malkumajra, Nalagarh Road, Baddi, Distt.-Solan (H.P.) - 173205","Clarity of solution, Particulate matter, Related Substances, pH, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
23,Iron Sucrose Injection USP,MA24G46,Jul-24,Jun-26,"M/s. Martin and Brown Bio- sciences Pvt. Ltd., K.No.- 918/419, Malkumajra, Nalagarh Road, Baddi, Distt.- Solan (H.P.) -173205",pH,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
24,Cholecalciferol (Vitamin D3) 60000 IU/gm Granule Sachet,TPD24015,Jul-24,Jun-26,"M/s. Affy Parenterals, Vill. Gullarwala, P.O. Baddi, Distt. Solan -173205 (HP)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
25,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1258,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
26,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1296,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
27,Omeprazole for Injection (Lyophilized) 40 mg (Fexona ),324-609,May-24,Apr-27,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Sterility of Water for Injection,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
28,Omeprazole for Injection (Lyophilized) 40 mg (Fexona ),324-608,May-24,Apr-27,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Sterility of Water for Injection,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
29,Cholecalciferol (Vitamin D3) 60000 IU/gm Granule Sachet,TPD24020,Jul-24,Jun-26,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
30,Cholecalciferol (Vitamin D3 ) 60000 IU/gm Granule Sachet,TPD24019,Jul-24,Jun-26,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
31,Cholecalciferol (Vitamin D3 ) 60000 IU/gm Granule Sachet,TPD24018,Jul-24,Jun-26,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
32,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1288,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
33,Cefuroxime Axetil Tablets I.P. 500 mg (BREXETIL-500 ),ST-25345,Oct-24,Sep-26,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Dissolution,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
34,Aceclofenac & Paracetamol Tablets (ALDIGESIC P ),BHT23229M B,Sep-23,Aug-25,"M/s. Sri Ram Healthcare Pvt. Ltd., Plot No.-81-C/2, EPIP, Phase-1, Jharmajri, Baddi, Dist-Solan (H.P.)-174103",Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
35,Ambroxol Hydrochloride and N-Acetyl L-Cysteine Tablets (Kufril-NT ),INT 115,Jul-24,Jun-26,"M/s. Med Manor Organics Pvt Ltd., Unit-II, Kh.No-143 M/7, Village-Raipur, Pargana- Bhagwanpur, Tehsil-Roorkee, Dist. Haridwar, Uttarakhand- 247661",Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
36,Calcium Gluconate Injection I.P. 10 ml,MV24B35,Feb-24,Jan-26,"M/s. Martin and Brown Bio- sciences Pvt. Ltd., K.No.- 918/419, Malkumajra, Nalagarh Road, Baddi, Distt.- Solan (H.P.) -173205","Extractable Volume, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
37,Tranexamic Acid Injection I.P. (Tranexacure Injection ),TC-038,Dec-24,Nov-26,"M/s. Pharma Cure Laboratories, Garha Jalandhar 144022 Punjab",Particulate Matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
38,Domperidone Suspension IP,DPS3-24- 225,Aug-24,Jul-26,"M/s. Ornate Labs Pvt. Ltd., Bela Industrial Estate, Muzaffarpur-842005",Total aerobic viable count under Microbial contamination test and Assay/content of Domperidone,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
39,Calcium Carbonate 500 mg + VIT.D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1307,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
40,Calcium CarbonateE 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA-500 ),GTL1312,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
41,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1313,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
42,Calcium Carbonate 500 mg.+VIT. D3 250IU TABLETS IP (CALXIA- 500 ),GTL1314,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
43,Calcium Carbonate 500 mg.+VIT. D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1315,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
44,Iron Sucrose Injection USP 100 mg/5ml,24RS13,Oct-24,Sep-26,"M/s. SAI Parenterals Limited, D1 &D4, Survey No. 280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",Alkalinity and pH,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
45,Iron Sucrose Injection USP 20 mg/ml (I-PIC),A24105K,Jun-24,May-26,"M/s. Pace Biotech Village Surajpur, Paonta Sahib, Dist. Sirmour (H.P.)-173001",Particulate matter in Injections,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
46,Gentamicin Sulphate Injection I.P. 30 ml (Gentalab ),OGNI-037,Jul-24,Jun-26,"M/s. Laborate Pharmaceuticals India Ltd., #31, Rajban Road, Nariwala Paonta Sahib, (H.P.)",Particulate matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
47,Alprazolam Tablets I.P. 0.50 mg (Calmpik-05),AT24266,Jul-24,Jun-27,"M/s. Aarpik Pharmaceuticals Pvt.Ltd., C1/306/5,Kerala G. I.D.C,Kerala Bavla Road,Dist. Ahmedabad",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
48,Calcium 500 mg with Vitamin D3 250 IU Tablets IP,LMT240449,Apr-24,Mar-26,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Dissolution (Calcium) and Assay of Vitamin D3,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
49,Calcium And Vitamin D3 Tablets IP,7493,Jan-24,Dec-25,"M/s. Healthy Life Pharma Pvt. Ltd., Factory: N-31/1, M.I.D.C., Tarapur, Boisar - 401 506, Dist. Palghar. Maharashtra",Assay/Content of Vitamin D3,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
50,Pantoprazole Gastro- Resistant Tablets IP 40 mg (Pantojack-40),T-1261,Apr-24,Mar-26,"M/s. Jackson Laboratories Pvt.Ltd, 22-24, Majitha Road, Bye Pass, Amritsar-143 001(India)",Description and Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
51,Telmisartan Tablets I.P. (DV-TELMI-40),GTE2206,Aug-24,Jul-26,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour (H.P.) - 173 030",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
52,Telmisartan Tablets IP 40mg,251TTF014,Aug-24,Jul-26,"M/s. Swiss Garnier Life Sciences, No. 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh-174 315. INDIA",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
53,Dexamethasone Oral Solution USP 0.5mg per 5ml,LG24-29,Jul-24,Jun-26,"M/s. Om Biomedic Pvt. Ltd..,, Plot No. 68, 69, 82 & 83, Sector - 6A, IIE, SIDCUL, Haridwar-249 403 (U.K.)",Assay,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
54,Amoxycillin & Potassium Clavulanate Injection IP.,AB193049A,May-23,Apr-25,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt.: Solan, HP-174101",Assay (Content of Clavulanic Acid),"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
55,Insulin Syringe (U-40 Insulin 1ml Syringe) (Mr. INJECT),123338,Dec-23,Nov-28,"M/s Biomed Healthcare Products Pvt. Ltd.,, Unit-II, Plot No. 62-65, Sector-6A, Sidcul, Haridwar 249403, Uttarakhand, India",Sterility,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
56,Infusion Set (BMD),BIV-020,Aug-24,Jul-27,"M/s.Bhagwati Medicare devices, 8, Maruti Industrial Estate, Nr. Sindhvai Mata Temple, C.T.M.- Ramol Road, Amraiwadi, Ahmedabad- 380026. Gujarat (India)",Sterility,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
57,Amoxycillin & Potasium Clavulanate Tablets I.P. (IPHA CLAV-375),NCP-151,Jan-24,Jun-25,"M/s. Park Pharmaceuticals, Vill. Kalujhanda, Near Nanakpur, Teh. Baddi, Distt. Solan (H.P.)- 174103",Assay of Clavulanic Acid,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
58,"Lactulose Solution U.S.P. (Apelact), 200 ml",AFL-121,Aug-24,Jul-26,"M/s.Apex Formulations Pvt. Ltd., 1276, Raipur, Highway, Dist. Mehsana, Gujarat","""Organic impurities"" and",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
59,"Lactulose Solution U.S.P. (Reevac), 100 ml",R23K015,Nov-23,Oct-25,"M/s.Rhombus Pharma Private Limited., 816/1, Rakanpur, Kalol- 382721 (Gujarat)","""Organic impurities""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
60,Albendazole Tablets I.P. (DV-BEND 400),GTE1974,Jul-24,Jun-26,"M/s Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Dist. Sirmour (H.P.)- 173 030.","""Dissolution""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
61,Atorvastatin Tablets IP (GATOVAS- 20),CT24250423,Jun-24,May-26,"M/s.CMG Biotech Pvt. Ltd., (Unit-II), Plot No.58, Phase-III, Industrial Area, Sansarpur Terrace, HP- 176501. Mkt By : Same as manufacturer","""Related substances""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
62,Atorvastatin Tablets IP 10 mg,00 57,Sep-24,Aug-26,"M/s.Hindustan Antibiotics Ltd., Pimpri, Pune- 411 018, India.","""Related substances""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
63,Sodium Bicarbonate Tablets U.S.P. 1000 mg,T-2401309,Jan-24,Dec-25,"M/s.Rivpra Formulation Pvt. Ltd., Plot No.8, Sector-6A, I.I.E., SIDCUL, Haridwar- 249 403 (U.K.). Manufatured for : Pharmaceuticals and Medical Devices Bureau of India (PMBI), 8th Floor, Videocon Tower, Block E-1, Jhandewalan Extension, New Delhi-110 055.","""Description""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
