S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
37.,Lipgloss ES-181,GL8024,,Oct-28,Shubh Laxmi Traders (imported by),"It fails the test for the content of mercury in finished cosmetic products as specified in the Laboratory protocol as per Cosmetic Rules, 2020 for Standards of Cosmetics",,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Oct-23,Drugs Testing Laboratory Thiruvananthapuram,,,,,
38.,Niyo Plus Baby Shampoo,BBS121,,Oct-26,"Jeevanam Healthcare, Punalur, Kollam, Kerala(Marketed by)","It fails the test ‘Total microbial count , CFU/ml’ as specified in the Laboratory Protocol as per IS 17117 : 2019 for specification of hair shampoo for babies.",,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Nov-24,Drugs Testing Laboratory Thiruvananthapuram,,,,,
39.,Fexofenadine Tab IP [Fexodil-180],T – 3105,,Sep-26,"Jackson Laboratories Pvt Ltd, 22-24, Majitha Road, Byepass, Amritsar - 143 001",It fails the test ‘Dissolution’ as per IP,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Oct-24,Drugs Testing Laboratory Thiruvananthapuram,,,,,
40.,Paracetamol Tab IP 500 mg,D 2999/24 -25,,NIL,"Kerala Medical services Corporation Limited, Thycaud P.O, Thiruvananthapuram",It fails the tests dissolution specified in the Laboratory Protocol,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,NIL,Drugs Testing Laboratory Thiruvananthapuram,,,,,
41.,Paracetamol Tab IP 500 mg,D 3212/24 -25,,NIL,"Kerala Medical services Corporation Limited, Thycaud P.O, Thiruvananthapuram",It fails the tests dissolution specified in the Laboratory Protocol,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,NIL,Drugs Testing Laboratory Thiruvananthapuram,,,,,
42.,Paracetamol Tabl IP 500 mg,D 3213/24 -25,,NIL,"Kerala Medical services Corporation Limited, Thycaud P.O, Thiruvananthapuram",It fails the tests dissolution specified in the Laboratory Protocol,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,NIL,Drugs Testing Laboratory Thiruvananthapuram,,,,,
43.,Amrutharishtam,1031,,5 Yrs from the date of Mfg.,"Vaidyasala Veetil Oushadhasala, Kulanjiyil, Elamadu.P.O, Kollam-691 539",It fails the test ‘Total Solids’ as specified in the L aboratory protocol as per API,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Sep-24,Drugs Testing Laboratory Thiruvananthapuram,,,,,
44.,Dasamularishtam,1042,,5 Yrs from the date of Mfg.,"Vaidyasala Veetil Oushadhasala, Kulanjiyil, Elamadu.P.O, Kollam-691 539","It fails the test ‘pH’ ,‘Total Solids’ ‘Specific Gravity’, a nd ‘Alcohol Content’ as specified in the Laboratory protocol as per API",,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Jan-25,Drugs Testing Laboratory Thiruvananthapuram,,,,,
45.,Avipathi Choornam,AV 461625,,Dec-26,"Changethu Herbs & Drugs, Thonnallur, Pandalam","It fails the tests ‘Total sugar’, ‘Alcohol soluble Extractive ’ and ‘Water soluble Extractive’, as specified in the Laboratory Protocol as per API",,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Jan-25,Drugs Testing Laboratory Thiruvananthapuram,,,,,
46.,Paracetamol Tab IP 500 mg,D 3103/24 -25,,NIL,"Kerala Medical services Corporation Limited, Thycaud P.O, Thiruvananthapuram",It fails the tests for dissolution and descriptive part for tablets as specified in the Laboratory Protocol as per IP,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,NIL,Drugs Testing Laboratory Thiruvananthapuram,,,,,
47.,Sodium Valporate Tablets I.P. 500mg.,SGT- 24173,,May-26,"M/s. Spectrum Formulation Pvt. Ltd., Khasra No. 12, Makhanpur, Bhagwanpur, Roorkee, Haridwar - 247 661, U.K.",Does not conform to I.P.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Apr-24,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,,,
48.,Telvas H 40/12.5 (Telmisartan & Hydrochlorothiazide Tablets I.P.),SPB240 306,,Jan-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Plot No. 2040-46, N.H.-10, Baghey Khola, P.O. Majhitar, East Sikkim-737 136.",Does not conform to I.P.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Feb-24,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,,,
49.,Telso 80 (Telmisartan Tab I.P.),MT2321 76,,May-25,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sec-6A, IIE, Sidcul, Haridwar-249403",Does not conform to I.P.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Jun-23,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,,,
50.,Telvas-AM (Telmisartan & Amlodipine Tablets I.P.),BPG241 827,,Jun-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Vill. Makhnumajra, P.O. Bhud, Dist. Solan, H.P.-173 205.",Does not conform to I.P.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Jul-24,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,,,
51.,Telvas 40 (Telmisartan Tablets I.P. 40mg.),SPB240 221,,Jan-26,"M/s. Aristo Pharmaceutical Pvt. Ltd., Plot No. 2040-46, N.H.-10, Baghey Khola, P.O. Majhitar, East Sikkim-737 136.",Does not conform to I.P.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Feb-24,"State Drugs Testing Laboratory, Kolkata, West Bengal.",,,,,
52.,Shafcin-650,AT-119,,Jul-26,"Mfg By: Ambrosia Pharma , 91 , Indl. Estate , Zainakot Srinagar",The sample does not confirm to IP 2022 requirement with respect to Dissolution Test,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Aug-24,Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure A,,,,,
53.,Petop-40,PTP- 119,,Jan-26,Mfg By: Ocean Organics Pvt Ltd P.O Khanna Nagar Amritsar -143001,The sample does not conform to the IP 2022 requirement with respect to Dissolution Test,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Aug-24,Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure B,,,,,
54.,Pantobac-40,MT2408 61,,Aug-26,"Mancare Laboratories Pvt Ltd Plot No. 11, Pharmacity Selaqui Dehradun , Uttarakhand 248011 Mrk By: NAVA Healthcare Pvt Ltd C1/10 Lal Sai Marg Janakpuri New Delhi - 110058","The sample does not conform to the IP requirements w,r,t Dissolution test",,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Sep-24,Drug Testing Laboratory Srinagar (J&K) - Report attached as Annexure C,,,,,
55.,Aticold,TG24- 1268,,May-26,Athens Lifesciences Mauza Rampur Jattan Nahan Road Kala Amb Distt. Sirmour H.P 173030 Mfg For : Telethon Healthcare SCF 236 Second Floor Sector 13 Manimajra Chandigarh UT,The sample does not conform to the IP 2022 requirement w.r.t Uniformity of weight & Disintegration Test,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Jun-24,Combined Food & Drug Testing Laboratory Jammu (J&K) - Report attached as Annexure D,,,,,
56.,Calagy ( Calamine Lotion I.P.),SPA243 098,,Sep-26,"M/s Skymap Pharmaceuticals Pvt. Ltd, Roorkee",Sample does not conforms to clain as per I.P. 2022 w.r.t. assay of Zinc Oxide,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Oct-24,State lab,,,,,
57.,Deflazacort 6 mg Tablets,CPT- 241518,,Nov-26,"M/s Catasta Pharmaceuticals, Plot No. 113, DIC, Ind. Area, Baddi, Distt. Solan HP",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Deflazacort.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Dec-24,DTL BADDI,,,,,
58.,Diclofenac Potassium & Paracetamol Tablets,CPT- 241506,,Nov-26,"M/s Catasta Pharmaceuticals, Plot No. 113, DIC, Ind. Area, Baddi, Distt. Solan HP",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Diclofenac Pottassium,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Dec-24,DTL BADDI,,,,,
59.,Etoricoxib & Thiocolchicoside Soft gel Capsules (Sancap),CD- 242077,,Nov-26,"M/s Capsoft Healthcare Pvt Ltd, Shed no 6, khasra no 760-761, khaslsa complex, Vill Karuana, Sai Road Baddi, Distt. Solan H.P.",Sample does not conforms to clain as per Patent & Proprietary in respect to the Assay of Etoricoxib & Thiocolchicoside,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Dec-24,DTL BADDI,,,,,
60.,Sucralfate USP,LSU240 9105,,Aug-24,"Legend Industries at unit-II Plot no C1/200-201/4 Phase-II, opp. Encore Ltd. Naroda GIDC Ahmedabad 382330",Sample does not conforms to U.S.P respect to identification and Assay of Sucralfate.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Sep-24,CDL Kolkata,,,,,
61.,Sucralfate USP,LSU240 9106,,08/2025,"Legend Industries at unit-II Plot no C1/200-201/4 Phase-II, opp. Encore Ltd. Naroda GIDC Ahmedabad 382331",Sample does not conforms to U.S.P respect to identification and Assay of Sucralfate.,,Unknown,CDSCO,NOSQ for the month of march 2025.pdf,,,,,,,,,,,,Sep-24,CDL Kolkata,,,,,
1.,Amoxicillin Sodium and Clavulanate Potassium (Sterile) 5:1,4032409004,09/2024,08/2028,"M/s. Shandong New Time Pharmaceuticals Co. Ltd., No.1, North Outer Ring Road, Feixian Country, Shandong Province, China",Particulate Matter,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
2.,Pantoprazole Gastro- Resistant Tablets IP (Pantoshang-40),SP240165,06/2024,05/2026,"M/s. Shangrila Industries (P) Ltd., (Pharma Division) Mining Rangpo East Sikkim-737132",Dissolution (Buffer Stage),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
3.,Pantoprazole tablets IP 40 mg,0081,05/2024,04/2026,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune-411018, INDIA",Dissolution (Buffer Stage),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
4.,Adrenaline Bitartrate Injection IP (Reoline Injection),AD-204,11/2024,04/2026,"M/s. Rathi Laboratories (Hindustan) Pvt. Ltd., Industrial Area, Patna-800013 Bihar","Appearance of solution, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
5.,Bupivacaine Hydrochloride In Dextrose Injection USP,AA4009,03/2024,02/2026,"M/s. Aishwarya Healthcare, Samardung, Kower Kabrey Block, South Sikkim-737137",Particulate matter (visible) and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
6.,Montelukast and Levocetirizine Tablet (Dumont-L ),DML 062,12/2024,11/2027,"M/s.Hygeia Pharmaceuticals Mfg (P) Ltd., 608, Dwarir Road, Dhamaitala, P.O.- Dakshin Jagaddal, Dist-24 Pgs(S), Pin-700151, W.B.",Dissolution of Levocetirizine Hydrochloride and Montelukast,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
7.,Nitrazepam Tablets I.P. 10 mg. (Nitravet-10),AXI23003P,09/2023,02/2028,"M/s. Anglo-French Drugs & Industries Limited, Plot No-4, Phase-II, Peenya Industrial Area, Peenya, Bengaluru-560 058",Spurious Identification and Assay of Nitrazepam,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
8.,"Vitamin B1, Vitamin B2, Nicotinamide, Vitamin B6, Vitamin B12 & Calcium D-Pantothenate Syrup (B-Complex Syrup)",BOB-2440,06/2024,11/2025,"M/s. Apple formulations Pvt. Ltd., Plot no. 208, Kishanpur, Roorkee-247667 (U.K.)",Assay of Vitamin B12,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
9.,"Vitamin B1, Vitamin B2, Nicotinamide, Vitamin B6, Vitamin B12 &",BOB-2451,06/2024,11/2025,"M/s. Apple Formulations Pvt. Ltd., Plot no. 208, Kishanpur, Roorkee-247667 (U.K.)",Total aerobic viable count,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
,Calcium D-Pantothenate Syrup (B-Complex Syrup),,,,,under Microbial limit test,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
10.,"Vitamin C, Vitamin B12, Folic Acid and Niacinamide Injection (Curevit-12 (Combi Pack ))",CP-937,12/2024,05/2026,"M/s. Pharma Cure Laboratories, Garha Jalandhar 144022 Punjab",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
11.,Ceftriaxone and Salbactam for Injection 1.5 g (TriaxS 1.5 g),DC40117,09/2024,08/2027,"M/s. Captab Biotec, Unit-II, Plot No. 125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Dist. Solan (H.P.)-173205",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
12.,Ceftriaxone & Sulbactam for Injection IP (Cefamed-S),B4CT05E,10/2024,09/2026,"M/s. Lenus Lifecare Pvt. Ltd., Plot No. 1, Industrial Area, Chambaghat, Solan (H.P.)-173 213(India)","Clarity of Solution, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
13.,Pantoprazole Gastro- Resistant and Domperidone Prolonged-release Capsules IP (Pantoryl- DSR ),MC-24229,04/2024,03/2026,"M/s. Matins Healthcare Pvt. Ltd., Plot No.-10, Sector-5, I.I.E., SIDCUL, HARIDWAR- 249403 (U.K.)",Dissolution of Pantoprazole Sodium in Buffer stage,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
14.,Chlorhexidine Gluconate & Ethyle Alcohol Baed Hand and Skin Disinfectant (Safiser Hand Rub),IJWX/074,09/2023,09/2025,"M/s. SS Enterprises F-76,, Sector-8, Noida, G.B. Nagar (U.P.), India 201301","Assay of Ethyl alcohol, Chlorhexidine Gluconate","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
15.,Dexamethasone Sodium Phosphate Injection IP (Dexagain Injection ),VHI274001,12/2024,11/2026,"M/s.Vidit Healthcare, Village Kishanpura, Paonta Sahib, Distt-Sirmour, H.P.-173025",Assay of Dexamethasone Sodium Phosphate calculated as Dexamethasone Phosphate,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
16.,Itraconazole Capsules BP 100 mg (Fungis-100),C4050,06/2024,05/2026,"M/s. Merril Pharma Pvt. Ltd., Unit- II Plot No.24,25,31,32 Somnath Industrial Park, Kerala GIDC, Near Bavla, Ahmedabad -382220, Gujarat, India",Dissolution,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
17.,Gentamicin Sulphate Injection IP (GENTAMICIN ),GN-37,09/2024,08/2026,"M/s. Amba research Laboratories, Road No.-21, Rajiv Nagar, Patna-24","Sterility, Particulate Matter and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
18.,"Methylcobalamin, Thiamine HCl, Pyridoxine HCl, D-",UGA-24436E,08/2024,01/2026,"M/s. Ultra Drugs Pvt. Ltd., Plot No. 1315-1318, Manpura,",Particulate Matter and Assay of Methylcobalamin,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
,Panthenol and Nicotinamide Injection (Nuropat),,,,"Nalagarh Road, Distt. Solan (H.P.) 174101",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
19.,Chloramphenirol Eye Ointment I.P. 1% W/W (EXPHENICOL),1624-366,01/07/2024,30/06/2026,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Assay of Chloramphenicol,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
20.,Calcium& Vitamin D3 Tablets IP,QT23144,11/2024,10/2026,"M/s.Quest Laboratories Limited, Plot No.-45, Sector-III, Pithampur, Dist-Dhar-454775 (M. P.)","Description, Dissolution (for Calcium) and Assay of Elemental Calcium","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
21.,Rabeprazole Sodium Injection I.P.,MD23H29,08/2023,07/2025,"M/s. Martin and Brown Bio- sciences, K.No.-918/419, Malkumajra, Nalagarh Road, Baddi, Distt.-Solan (H.P.) - 173205","Particulate matter, Related Substances, Clarity of solution, pH, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
22.,Rabeprazole Sodium Injection I.P.,MD23H27,08/2023,07/2025,"M/s. Martin and Brown Bio- sciences, K.No.-918/419, Malkumajra, Nalagarh Road, Baddi, Distt.-Solan (H.P.) - 173205","Clarity of solution, Particulate matter, Related Substances, pH, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
23.,Iron Sucrose Injection USP,MA24G46,07/2024,06/2026,"M/s. Martin and Brown Bio- sciences Pvt. Ltd., K.No.- 918/419, Malkumajra, Nalagarh Road, Baddi, Distt.- Solan (H.P.) -173205",pH,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
24.,Cholecalciferol (Vitamin D3) 60000 IU/gm Granule Sachet,TPD24015,07/2024,06/2026,"M/s. Affy Parenterals, Vill. Gullarwala, P.O. Baddi, Distt. Solan -173205 (HP)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
25.,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1258,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
26.,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1296,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
27.,Omeprazole for Injection (Lyophilized) 40 mg (Fexona ),324-609,05/2024,04/2027,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Sterility of Water for Injection,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
28.,Omeprazole for Injection (Lyophilized) 40 mg (Fexona ),324-608,05/2024,04/2027,"M/s. Zee Laboratories Ltd., Behind 47, Industrial Area, Paonta Sahib-173025",Sterility of Water for Injection,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
29.,Cholecalciferol (Vitamin D3) 60000 IU/gm Granule Sachet,TPD24020,07/2024,06/2026,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
30.,Cholecalciferol (Vitamin D3 ) 60000 IU/gm Granule Sachet,TPD24019,07/2024,06/2026,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
31.,Cholecalciferol (Vitamin D3 ) 60000 IU/gm Granule Sachet,TPD24018,07/2024,06/2026,"M/s. Affy Parenterals, (WHO- CGMP/ISO 9001:2015 Certified Co.) Vill-Gullerwala, PO-Baddi, Dist-Solan-173205 (H.P.)",Assay/content of Cholecalciferol (Vitamin D3),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
32.,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA 500 ),GTL1288,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
33.,Cefuroxime Axetil Tablets I.P. 500 mg (BREXETIL-500 ),ST-25345,10/2024,09/2026,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Dissolution,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
34.,Aceclofenac & Paracetamol Tablets (ALDIGESIC P ),BHT23229M B,09/2023,08/2025,"M/s. Sri Ram Healthcare Pvt. Ltd., Plot No.-81-C/2, EPIP, Phase-1, Jharmajri, Baddi, Dist-Solan (H.P.)-174103",Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
35.,Ambroxol Hydrochloride and N-Acetyl L-Cysteine Tablets (Kufril-NT ),INT 115,07/2024,06/2026,"M/s. Med Manor Organics Pvt Ltd., Unit-II, Kh.No-143 M/7, Village-Raipur, Pargana- Bhagwanpur, Tehsil-Roorkee, Dist. Haridwar, Uttarakhand- 247661",Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
36.,Calcium Gluconate Injection I.P. 10 ml,MV24B35,02/2024,01/2026,"M/s. Martin and Brown Bio- sciences Pvt. Ltd., K.No.- 918/419, Malkumajra, Nalagarh Road, Baddi, Distt.- Solan (H.P.) -173205","Extractable Volume, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
37.,Tranexamic Acid Injection I.P. (Tranexacure Injection ),TC-038,12/2024,11/2026,"M/s. Pharma Cure Laboratories, Garha Jalandhar 144022 Punjab",Particulate Matter and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
38.,Domperidone Suspension IP,DPS3-24- 225,08/2024,07/2026,"M/s. Ornate Labs Pvt. Ltd., Bela Industrial Estate, Muzaffarpur-842005",Total aerobic viable count under Microbial contamination test and Assay/content of Domperidone,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
39.,Calcium Carbonate 500 mg + VIT.D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1307,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
40.,Calcium CarbonateE 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA-500 ),GTL1312,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
41.,Calcium Carbonate 500 mg + VIT. D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1313,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
42.,Calcium Carbonate 500 mg.+VIT. D3 250IU TABLETS IP (CALXIA- 500 ),GTL1314,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
43.,Calcium Carbonate 500 mg.+VIT. D3 250 IU TABLETS IP (CALXIA- 500 ),GTL1315,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No.-611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
44.,Iron Sucrose Injection USP 100 mg/5ml,24RS13,10/2024,09/2026,"M/s. SAI Parenterals Limited, D1 &D4, Survey No. 280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",Alkalinity and pH,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
45.,Iron Sucrose Injection USP 20 mg/ml (I-PIC),A24105K,06/2024,05/2026,"M/s. Pace Biotech Village Surajpur, Paonta Sahib, Dist. Sirmour (H.P.)-173001",Particulate matter in Injections,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
46.,Gentamicin Sulphate Injection I.P. 30 ml (Gentalab ),OGNI-037,07/2024,06/2026,"M/s. Laborate Pharmaceuticals India Ltd., #31, Rajban Road, Nariwala Paonta Sahib, (H.P.)",Particulate matter and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
